index	question	sentence	label
615	O=C(NCc1ccccc1)O[C@H]1CO[C@@H]2C(=O)CO[C@H]12	O=C1CO[C@@H]2[C@@H](OC(=O)NCc3ccccc3)CO[C@@H]2O1	entailment
616	C[C@H]1CC[C@H](CC(=O)c2ccc(C(F)(F)F)cc2)C1(C)C	C[C@H]1CC[C@H](CC(=O)Oc2ccc(C(F)(F)F)cc2)C1(C)C	not_entailment
617	C[C@H]1CC[C@H](CC(=O)c2ccc(C(F)(F)F)cc2)C1(C)C	C[C@H]1CC[C@H](COC(=O)c2ccc(C(F)(F)F)cc2)C1(C)C	entailment
618	CCCC[C@H]1[C@H]2CCC[C@@]13CC[C@H](O[Si](C)(C)C(C)(C)C)[C@H]3C2=O	CCCC[C@H]1[C@H]2CCC[C@@]13CC[C@H](O[Si](C)(C)C(C)(C)C)[C@H]3OC2=O	not_entailment
619	CCCC[C@H]1[C@H]2CCC[C@@]13CC[C@H](O[Si](C)(C)C(C)(C)C)[C@H]3C2=O	CCCC[C@H]1[C@H]2CCC[C@@]13CC[C@H](O[Si](C)(C)C(C)(C)C)[C@H]3C(=O)O2	entailment
620	CC(C)(C)[Si](O[C@@H]1CC(=O)C[C@H](O[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)C1)(c1ccccc1)c1ccccc1	CC(C)(C)[Si](O[C@@H]1CC(=O)OC[C@H](O[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)C1)(c1ccccc1)c1ccccc1	entailment
621	CC(C)(C)[Si](O[C@@H]1CC(=O)C[C@H](O[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)C1)(c1ccccc1)c1ccccc1	CC(C)(C)[Si](O[C@@H]1COC(=O)C[C@H](O[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)C1)(c1ccccc1)c1ccccc1	not_entailment
622	CC(=O)[C@@H]1C[C@H]1CC(Br)CBr	CC(=O)O[C@@H]1C[C@H]1CC(Br)CBr	entailment
623	CC(=O)[C@@H]1C[C@H]1CC(Br)CBr	COC(=O)[C@@H]1C[C@H]1CC(Br)CBr	not_entailment
624	CC12CCC(=O)C=C1CCCC21OCCO1	CC12CCC(=O)OC=C1CCCC21OCCO1	entailment
625	CC12CCC(=O)C=C1CCCC21OCCO1	CC12CCOC(=O)C=C1CCCC21OCCO1	not_entailment
626	C[Si](C)(C)OC(c1cccc2ccccc12)C1(O[Si](C)(C)C)CCC1=O	C[Si](C)(C)OC(c1cccc2ccccc12)C1(O[Si](C)(C)C)CCOC1=O	not_entailment
627	C[Si](C)(C)OC(c1cccc2ccccc12)C1(O[Si](C)(C)C)CCC1=O	C[Si](C)(C)OC(c1cccc2ccccc12)C1(O[Si](C)(C)C)CCC(=O)O1	entailment
628	O=C1CCCCC1OC1CCCCC1	O=C1CCCCC(OC2CCCCC2)O1	entailment
629	O=C1CCCCC1OC1CCCCC1	O=C1OCCCCC1OC1CCCCC1	not_entailment
630	CC(C)(C)[Si](C)(C)OCC1=C[C@@H]2C[C@@]1(C)CC2=O	CC(C)(C)[Si](C)(C)OCC1=C[C@@H]2C[C@@]1(C)COC2=O	not_entailment
631	CC(C)(C)[Si](C)(C)OCC1=C[C@@H]2C[C@@]1(C)CC2=O	CC(C)(C)[Si](C)(C)OCC1=C[C@@H]2C[C@@]1(C)CC(=O)O2	entailment
632	CC(=O)c1ccc2c(c1)OCCOCCOCCOCCOCCO2	CC(=O)Oc1ccc2c(c1)OCCOCCOCCOCCOCCO2	entailment
633	CC(=O)c1ccc2c(c1)OCCOCCOCCOCCOCCO2	COC(=O)c1ccc2c(c1)OCCOCCOCCOCCOCCO2	not_entailment
634	CCCCCCCCCCCCOc1ccc(C(C)=O)cc1OCCCCCCCCCCCC	CCCCCCCCCCCCOc1ccc(C(=O)OC)cc1OCCCCCCCCCCCC	not_entailment
635	CCCCCCCCCCCCOc1ccc(C(C)=O)cc1OCCCCCCCCCCCC	CCCCCCCCCCCCOc1ccc(OC(C)=O)cc1OCCCCCCCCCCCC	entailment
636	CCCCCC(/C=C/[C@@H]1[C@@H](O[Si](C)(C)C(C)(C)C)C[C@H]2O[C@H]([C@@H]3CCCC3=O)C[C@@H]12)O[Si](C)(C)C(C)(C)C	CCCCCC(/C=C/[C@@H]1[C@@H](O[Si](C)(C)C(C)(C)C)C[C@H]2O[C@H]([C@@H]3CCCOC3=O)C[C@@H]12)O[Si](C)(C)C(C)(C)C	not_entailment
637	CCCCCC(/C=C/[C@@H]1[C@@H](O[Si](C)(C)C(C)(C)C)C[C@H]2O[C@H]([C@@H]3CCCC3=O)C[C@@H]12)O[Si](C)(C)C(C)(C)C	CCCCCC(/C=C/[C@@H]1[C@@H](O[Si](C)(C)C(C)(C)C)C[C@H]2O[C@H]([C@@H]3CCCC(=O)O3)C[C@@H]12)O[Si](C)(C)C(C)(C)C	entailment
638	CCOC(=O)[C@@H]1NC(=O)O[C@H]1C(=O)c1ccccc1	CCOC(=O)[C@@H]1NC(=O)O[C@H]1C(=O)Oc1ccccc1	entailment
639	CCOC(=O)[C@@H]1NC(=O)O[C@H]1C(=O)c1ccccc1	CCOC(=O)[C@@H]1NC(=O)O[C@H]1OC(=O)c1ccccc1	not_entailment
640	CCC[C@H]1CC(=O)C[C@@H](CCC)O1	CCC[C@H]1CC(=O)OC[C@@H](CCC)O1	not_entailment
641	CCC[C@H]1CC(=O)C[C@@H](CCC)O1	CCC[C@H]1COC(=O)C[C@@H](CCC)O1	entailment
642	O=C(CC1(O)c2ccccc2-n2c1nc1ccccc1c2=O)c1ccccc1	O=C(CC1(O)c2ccccc2-n2c1nc1ccccc1c2=O)Oc1ccccc1	entailment
643	O=C(CC1(O)c2ccccc2-n2c1nc1ccccc1c2=O)c1ccccc1	O=C(OCC1(O)c2ccccc2-n2c1nc1ccccc1c2=O)c1ccccc1	not_entailment
644	CCCCCC[C@H]1CCCC1=O	CCCCCC[C@H]1CCCOC1=O	not_entailment
645	CCCCCC[C@H]1CCCC1=O	CCCCCC[C@H]1CCCC(=O)O1	entailment
646	CO[C@@H]1[C@H](OCc2ccccc2)[C@H]2OC(C)(C)O[C@H]2C(=O)[C@@H]1C	CO[C@@H]1[C@H](OCc2ccccc2)[C@H]2OC(C)(C)O[C@H]2C(=O)O[C@@H]1C	not_entailment
647	CO[C@@H]1[C@H](OCc2ccccc2)[C@H]2OC(C)(C)O[C@H]2C(=O)[C@@H]1C	CO[C@@H]1[C@H](OCc2ccccc2)[C@H]2OC(C)(C)O[C@H]2OC(=O)[C@@H]1C	entailment
648	Cc1ccc(S(=O)(=O)NCC[C@H]2C(=O)C[C@H]2[Si](C)(C)c2ccccc2)cc1	Cc1ccc(S(=O)(=O)NCC[C@H]2C(=O)OC[C@H]2[Si](C)(C)c2ccccc2)cc1	not_entailment
649	Cc1ccc(S(=O)(=O)NCC[C@H]2C(=O)C[C@H]2[Si](C)(C)c2ccccc2)cc1	Cc1ccc(S(=O)(=O)NCC[C@H]2OC(=O)C[C@H]2[Si](C)(C)c2ccccc2)cc1	entailment
650	CCCCCCCC1CCCC1=O	CCCCCCCC1CCCOC1=O	not_entailment
651	CCCCCCCC1CCCC1=O	CCCCCCCC1CCCC(=O)O1	entailment
652	C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O	C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H](O)CC[C@@]43C)[C@@H]1CCOC2=O	not_entailment
653	C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O	C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC(=O)O2	entailment
654	CCCCCC1CCCC1=O	CCCCCC1CCCOC1=O	not_entailment
655	CCCCCC1CCCC1=O	CCCCCC1CCCC(=O)O1	entailment
656	CC1(C)OC[C@H]([C@H]2C[C@@H](O)[C@@H](O)[C@@H]3[C@@H](OCc4ccccc4)[C@H](OCc4ccccc4)[C@@H](OCc4ccccc4)C(=O)[C@H]23)O1	CC1(C)OC[C@H]([C@H]2C[C@@H](O)[C@@H](O)[C@H]3[C@@H]2OC(=O)[C@H](OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]3OCc2ccccc2)O1	not_entailment
657	CC1(C)OC[C@H]([C@H]2C[C@@H](O)[C@@H](O)[C@@H]3[C@@H](OCc4ccccc4)[C@H](OCc4ccccc4)[C@@H](OCc4ccccc4)C(=O)[C@H]23)O1	CC1(C)OC[C@H]([C@H]2C[C@@H](O)[C@@H](O)[C@@H]3[C@@H](OCc4ccccc4)[C@H](OCc4ccccc4)[C@@H](OCc4ccccc4)OC(=O)[C@H]23)O1	entailment
658	CC(=O)[C@H]1C[C@H]2CC(=O)O[C@@]2(C)C1	CC(=O)O[C@H]1C[C@H]2CC(=O)O[C@@]2(C)C1	entailment
659	CC(=O)[C@H]1C[C@H]2CC(=O)O[C@@]2(C)C1	COC(=O)[C@H]1C[C@H]2CC(=O)O[C@@]2(C)C1	not_entailment
660	CCCCCCC(=O)C(F)(F)F	CCCCCCC(=O)OC(F)(F)F	not_entailment
661	CCCCCCC(=O)C(F)(F)F	CCCCCCOC(=O)C(F)(F)F	entailment
662	CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2	CC1(C)[C@@H]2CC[C@@]1(C)C(=O)OC2	not_entailment
663	CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2	CC1(C)[C@@H]2CC[C@@]1(C)OC(=O)C2	entailment
664	COc1ccc(C(=O)C[C@H]2CC[C@H](C)C2(C)C)cc1	COc1ccc(C(=O)OC[C@H]2CC[C@H](C)C2(C)C)cc1	not_entailment
665	COc1ccc(C(=O)C[C@H]2CC[C@H](C)C2(C)C)cc1	COc1ccc(OC(=O)C[C@H]2CC[C@H](C)C2(C)C)cc1	entailment
666	COCO[C@H]1[C@@H]2O[C@H]([C@@H]1[C@H](O[Si](C)(C)C(C)(C)C)C1=NO[C@H]3[C@@H]1O[C@@H]1OC(C)(C)O[C@H]31)[C@@H](OS(=O)(=O)c1ccc(Br)cc1)C2=O	COCO[C@H]1[C@@H]2O[C@@H]([C@@H](OS(=O)(=O)c3ccc(Br)cc3)OC2=O)[C@@H]1[C@H](O[Si](C)(C)C(C)(C)C)C1=NO[C@H]2[C@@H]1O[C@@H]1OC(C)(C)O[C@H]21	not_entailment
667	COCO[C@H]1[C@@H]2O[C@H]([C@@H]1[C@H](O[Si](C)(C)C(C)(C)C)C1=NO[C@H]3[C@@H]1O[C@@H]1OC(C)(C)O[C@H]31)[C@@H](OS(=O)(=O)c1ccc(Br)cc1)C2=O	COCO[C@@H]1[C@@H]([C@H](O[Si](C)(C)C(C)(C)C)C2=NO[C@H]3[C@@H]2O[C@@H]2OC(C)(C)O[C@H]32)[C@H]2O[C@@H]1OC(=O)[C@@H]2OS(=O)(=O)c1ccc(Br)cc1	entailment
668	CC1(C)OC[C@@H]([C@H](O)[C@H]2CCCC2=O)O1	CC1(C)OC[C@@H]([C@H](O)[C@H]2CCCOC2=O)O1	not_entailment
669	CC1(C)OC[C@@H]([C@H](O)[C@H]2CCCC2=O)O1	CC1(C)OC[C@@H]([C@H](O)[C@H]2CCCC(=O)O2)O1	entailment
670	CC1(C)C[C@]2(C)CC(=O)C3OC(=O)[C@@H]4CC[C@@H]1[C@]342	CC1(C)C[C@]2(C)CC(=O)OC3OC(=O)[C@@H]4CC[C@@H]1[C@]342	entailment
671	CC1(C)C[C@]2(C)CC(=O)C3OC(=O)[C@@H]4CC[C@@H]1[C@]342	CC1(C)C[C@]2(C)COC(=O)C3OC(=O)[C@@H]4CC[C@@H]1[C@]342	not_entailment
672	COC(=O)COc1ccc(C(C)=O)cc1OC	COC(=O)COc1ccc(C(=O)OC)cc1OC	not_entailment
673	COC(=O)COc1ccc(C(C)=O)cc1OC	COC(=O)COc1ccc(OC(C)=O)cc1OC	entailment
674	CC(C)[C@H]1C(=O)C[C@H](O)[C@@H]1C	CC(C)[C@H]1C(=O)OC[C@H](O)[C@@H]1C	not_entailment
675	CC(C)[C@H]1C(=O)C[C@H](O)[C@@H]1C	CC(C)[C@H]1OC(=O)C[C@H](O)[C@@H]1C	entailment
676	CC(C)(C)[Si](OCC[C@H]1CCCCC1=O)(c1ccccc1)c1ccccc1	CC(C)(C)[Si](OCC[C@H]1CCCCOC1=O)(c1ccccc1)c1ccccc1	not_entailment
677	CC(C)(C)[Si](OCC[C@H]1CCCCC1=O)(c1ccccc1)c1ccccc1	CC(C)(C)[Si](OCC[C@H]1CCCCC(=O)O1)(c1ccccc1)c1ccccc1	entailment
678	COc1ccc(C(=O)C(F)(F)F)cc1	COc1ccc(C(=O)OC(F)(F)F)cc1	not_entailment
679	COc1ccc(C(=O)C(F)(F)F)cc1	COc1ccc(OC(=O)C(F)(F)F)cc1	entailment
680	CC1=CC(=O)C(Cc2ccccc2)CC1	CC1=CC(=O)OC(Cc2ccccc2)CC1	not_entailment
681	CC1=CC(=O)C(Cc2ccccc2)CC1	CC1=COC(=O)C(Cc2ccccc2)CC1	entailment
682	CC(=O)c1ccc(O)cc1	CC(=O)Oc1ccc(O)cc1	entailment
683	CC(=O)c1ccc(O)cc1	COC(=O)c1ccc(O)cc1	not_entailment
684	CCCCCCC(=O)CC	CCCCCCC(=O)OCC	not_entailment
685	CCCCCCC(=O)CC	CCCCCCOC(=O)CC	entailment
686	COC(=O)[C@]1(O)C[C@@H](c2ccccc2)[C@@H]2CCC[C@H]1C2=O	COC(=O)[C@]1(O)C[C@@H](c2ccccc2)[C@@H]2CCC[C@H]1OC2=O	not_entailment
687	COC(=O)[C@]1(O)C[C@@H](c2ccccc2)[C@@H]2CCC[C@H]1C2=O	COC(=O)[C@]1(O)C[C@@H](c2ccccc2)[C@@H]2CCC[C@H]1C(=O)O2	entailment
688	C[C@]12CCC[C@H]3c4ccccc4CC[C@@]31CC2=O	C[C@]12CCC[C@H]3c4ccccc4CC[C@@]31COC2=O	not_entailment
689	C[C@]12CCC[C@H]3c4ccccc4CC[C@@]31CC2=O	C[C@]12CCC[C@H]3c4ccccc4CC[C@@]31CC(=O)O2	entailment
690	Cc1ccc2c(c1)[C@@](C)(CCCOCc1ccccc1)CC2=O	Cc1ccc2c(c1)[C@@](C)(CCCOCc1ccccc1)COC2=O	not_entailment
691	Cc1ccc2c(c1)[C@@](C)(CCCOCc1ccccc1)CC2=O	Cc1ccc2c(c1)[C@@](C)(CCCOCc1ccccc1)CC(=O)O2	entailment
692	COC(=O)N1[C@H]2C(=O)[C@@](Cl)(CCCBr)[C@H]2O[C@@H]1C(C)(C)C	COC(=O)N1[C@H]2C(=O)O[C@@](Cl)(CCCBr)[C@H]2O[C@@H]1C(C)(C)C	not_entailment
693	COC(=O)N1[C@H]2C(=O)[C@@](Cl)(CCCBr)[C@H]2O[C@@H]1C(C)(C)C	COC(=O)N1[C@H]2OC(=O)[C@@](Cl)(CCCBr)[C@H]2O[C@@H]1C(C)(C)C	entailment
694	C[C@@]12CC=CC[C@]1(C)CC(=O)C2	C[C@@]12CC=CC[C@]1(C)CC(=O)OC2	not_entailment
695	C[C@@]12CC=CC[C@]1(C)CC(=O)C2	C[C@]12CC=CC[C@@]1(C)CC(=O)OC2	entailment
696	COc1ccc(OC)c(C(=O)C(O)Cc2ccc(OC(=O)C(C)(C)C)cc2)c1	COc1ccc(OC)c(C(=O)OC(O)Cc2ccc(OC(=O)C(C)(C)C)cc2)c1	not_entailment
697	COc1ccc(OC)c(C(=O)C(O)Cc2ccc(OC(=O)C(C)(C)C)cc2)c1	COc1ccc(OC)c(OC(=O)C(O)Cc2ccc(OC(=O)C(C)(C)C)cc2)c1	entailment
698	C[Si](C)(C)OC(/C=C/c1ccccc1)C1(O[Si](C)(C)C)CCC1=O	C[Si](C)(C)OC(/C=C/c1ccccc1)C1(O[Si](C)(C)C)CCOC1=O	not_entailment
699	C[Si](C)(C)OC(/C=C/c1ccccc1)C1(O[Si](C)(C)C)CCC1=O	C[Si](C)(C)OC(/C=C/c1ccccc1)C1(O[Si](C)(C)C)CCC(=O)O1	entailment
700	O=C1CCCCCC1Cc1ccccc1	O=C1CCCCCC(Cc2ccccc2)O1	entailment
701	O=C1CCCCCC1Cc1ccccc1	O=C1OCCCCCC1Cc1ccccc1	not_entailment
702	CC[C@@H]1CCCNC(=O)[C@H]([C@@H](C)C(C)=O)[C@@H](O[Si](C)(C)C(C)(C)C)CC[C@H](C)CCC1	CC[C@@H]1CCCNC(=O)[C@H]([C@@H](C)C(=O)OC)[C@@H](O[Si](C)(C)C(C)(C)C)CC[C@H](C)CCC1	not_entailment
703	CC[C@@H]1CCCNC(=O)[C@H]([C@@H](C)C(C)=O)[C@@H](O[Si](C)(C)C(C)(C)C)CC[C@H](C)CCC1	CC[C@@H]1CCCNC(=O)[C@H]([C@@H](C)OC(C)=O)[C@@H](O[Si](C)(C)C(C)(C)C)CC[C@H](C)CCC1	entailment
704	CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2C2CC(=O)C2Cl)C1	CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2C2CC(=O)OC2Cl)C1	entailment
705	CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2C2CC(=O)C2Cl)C1	CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2C2COC(=O)C2Cl)C1	not_entailment
706	C[C@H]1C[C@@H](C)[C@@H]2O[C@H]1CC2=O	C[C@H]1C[C@@H](C)[C@@H]2O[C@H]1COC2=O	not_entailment
707	C[C@H]1C[C@@H](C)[C@@H]2O[C@H]1CC2=O	C[C@H]1C[C@@H](C)[C@H]2OC(=O)C[C@@H]1O2	entailment
708	COC(=O)[C@@H]1[C@H]2CC(=O)C[C@H](C)[C@H]2C(=O)N1C(=O)OC(C)(C)C	COC(=O)[C@@H]1[C@H]2CC(=O)OC[C@H](C)[C@H]2C(=O)N1C(=O)OC(C)(C)C	entailment
709	COC(=O)[C@@H]1[C@H]2CC(=O)C[C@H](C)[C@H]2C(=O)N1C(=O)OC(C)(C)C	COC(=O)[C@@H]1[C@H]2COC(=O)C[C@H](C)[C@H]2C(=O)N1C(=O)OC(C)(C)C	not_entailment
710	COC(=O)C[C@@H]1C[C@@H](C(C)=O)C[C@@H]2O[C@]12C	COC(=O)C[C@@H]1C[C@@H](C(=O)OC)C[C@@H]2O[C@]12C	not_entailment
711	COC(=O)C[C@@H]1C[C@@H](C(C)=O)C[C@@H]2O[C@]12C	COC(=O)C[C@@H]1C[C@@H](OC(C)=O)C[C@@H]2O[C@]12C	entailment
712	O=C(COc1ccccc1)c1ccccc1	O=C(COc1ccccc1)Oc1ccccc1	not_entailment
713	O=C(COc1ccccc1)c1ccccc1	O=C(OCOc1ccccc1)c1ccccc1	entailment
714	O=C1CC2(CCC2)C1CC(Cl)(Cl)Cl	O=C1CC2(CCC2)C(CC(Cl)(Cl)Cl)O1	entailment
715	O=C1CC2(CCC2)C1CC(Cl)(Cl)Cl	O=C1OCC2(CCC2)C1CC(Cl)(Cl)Cl	not_entailment
716	C=C([C@@H]1[C@@H](C(C)=O)O[C@@H]2OC(=O)C[C@@H]21)C(C)(C)C	C=C([C@@H]1[C@@H](C(=O)OC)O[C@@H]2OC(=O)C[C@@H]21)C(C)(C)C	not_entailment
717	C=C([C@@H]1[C@@H](C(C)=O)O[C@@H]2OC(=O)C[C@@H]21)C(C)(C)C	C=C([C@@H]1[C@@H](OC(C)=O)O[C@@H]2OC(=O)C[C@@H]21)C(C)(C)C	entailment
718	C[C@@H]1CC[C@H]2C(=O)CCC[C@H](Br)[C@H]12	C[C@@H]1CC[C@H]2C(=O)OCCC[C@H](Br)[C@H]12	not_entailment
719	C[C@@H]1CC[C@H]2C(=O)CCC[C@H](Br)[C@H]12	C[C@@H]1CC[C@H]2OC(=O)CCC[C@H](Br)[C@H]12	entailment
720	O=CC1=CC[C@@H]2C(=O)C[C@H]12	O=CC1=CC[C@@H]2C(=O)OC[C@H]12	not_entailment
721	O=CC1=CC[C@@H]2C(=O)C[C@H]12	O=CC1=CC[C@@H]2OC(=O)C[C@H]12	entailment
722	COC(=O)[C@H](Cc1ccc(OCc2ccccc2[N+](=O)[O-])c(C(C)=O)c1)NC(=O)OC(C)(C)C	COC(=O)c1cc(C[C@H](NC(=O)OC(C)(C)C)C(=O)OC)ccc1OCc1ccccc1[N+](=O)[O-]	not_entailment
723	COC(=O)[C@H](Cc1ccc(OCc2ccccc2[N+](=O)[O-])c(C(C)=O)c1)NC(=O)OC(C)(C)C	COC(=O)[C@H](Cc1ccc(OCc2ccccc2[N+](=O)[O-])c(OC(C)=O)c1)NC(=O)OC(C)(C)C	entailment
724	O=C1CCCCC1c1ccc(Cl)cc1	O=C1CCCCC(c2ccc(Cl)cc2)O1	entailment
725	O=C1CCCCC1c1ccc(Cl)cc1	O=C1OCCCCC1c1ccc(Cl)cc1	not_entailment
726	CC[C@H]1CC(=O)c2ccccc2O1	CC[C@H]1CC(=O)Oc2ccccc2O1	entailment
727	CC[C@H]1CC(=O)c2ccccc2O1	CC[C@H]1COC(=O)c2ccccc2O1	not_entailment
728	CC(=O)c1ccccc1	CC(=O)Oc1ccccc1	not_entailment
729	CC(=O)c1ccccc1	COC(=O)c1ccccc1	entailment
730	COCC[C@@]1(C)[C@H](C)CC(=O)[C@@H]2CC[C@@H](OC)C[C@@]21C	COCC[C@@]1(C)[C@H](C)CC(=O)O[C@@H]2CC[C@@H](OC)C[C@@]21C	entailment
731	COCC[C@@]1(C)[C@H](C)CC(=O)[C@@H]2CC[C@@H](OC)C[C@@]21C	COCC[C@@]1(C)[C@H](C)COC(=O)[C@@H]2CC[C@@H](OC)C[C@@]21C	not_entailment
732	Cc1cc(C)c(/C=C2\CCC2=O)c(C)c1	Cc1cc(C)c(/C=C2\CCOC2=O)c(C)c1	not_entailment
733	Cc1cc(C)c(/C=C2\CCC2=O)c(C)c1	Cc1cc(C)c(/C=C2\CCC(=O)O2)c(C)c1	entailment
734	COC(OC)[C@H]1[C@H]2CC(=O)[C@H](C2)[C@@H]1CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C	COC(OC)[C@@H]1[C@@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@H]2C[C@@H]1CC(=O)O2	entailment
735	COC(OC)[C@H]1[C@H]2CC(=O)[C@H](C2)[C@@H]1CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C	COC(OC)[C@H]1[C@H]2COC(=O)[C@H](C2)[C@@H]1CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C	not_entailment
736	O=C1Cc2ccccc2C1Cc1cccc(Br)c1	O=C1Cc2ccccc2C(Cc2cccc(Br)c2)O1	entailment
737	O=C1Cc2ccccc2C1Cc1cccc(Br)c1	O=C1OCc2ccccc2C1Cc1cccc(Br)c1	not_entailment
738	CC1(C)C(=O)COC1=O	CC1(C)C(=O)OCOC1=O	not_entailment
739	CC1(C)C(=O)COC1=O	CC1(C)OC(=O)COC1=O	entailment
740	CC(C)(C)OC(=O)[C@@H]1CC(=O)CN1C(=O)OC(C)(C)C	CC(C)(C)OC(=O)[C@@H]1CC(=O)OCN1C(=O)OC(C)(C)C	entailment
741	CC(C)(C)OC(=O)[C@@H]1CC(=O)CN1C(=O)OC(C)(C)C	CC(C)(C)OC(=O)[C@@H]1COC(=O)CN1C(=O)OC(C)(C)C	not_entailment
742	O=C1CCC[C@H]1CO	O=C1CCC[C@@H](CO)O1	entailment
743	O=C1CCC[C@H]1CO	O=C1OCCC[C@H]1CO	not_entailment
744	C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C	C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CCC(=O)OC(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C	entailment
745	C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C	C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CCOC(=O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C	not_entailment
746	O=C1CCCCC1c1ccc2ccccc2c1	O=C1CCCCC(c2ccc3ccccc3c2)O1	not_entailment
747	O=C1CCCCC1c1ccc2ccccc2c1	O=C1OCCCCC1c1ccc2ccccc2c1	entailment
748	CC(C)[C@H]1C(=O)C[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1C	CC(C)[C@H]1C(=O)OC[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1C	not_entailment
749	CC(C)[C@H]1C(=O)C[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1C	CC(C)[C@H]1OC(=O)C[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1C	entailment
750	[2H]C([2H])([2H])C(C)C[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@@]21C	[2H]C([2H])([2H])C(C)C[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC(=O)O[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@@]21C	not_entailment
751	[2H]C([2H])([2H])C(C)C[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@@]21C	[2H]C([2H])([2H])C(C)C[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3COC(=O)[C@H]4C[C@H](OC(C)=O)[C@H](OC(C)=O)C[C@]4(C)[C@H]3CC[C@@]21C	entailment
752	O=C(O[C@@H]1CO[C@@H]2C(=O)CO[C@@H]21)c1ccccc1	O=C(O[C@@H]1CO[C@@H]2C(=O)OCO[C@@H]21)c1ccccc1	not_entailment
753	O=C(O[C@@H]1CO[C@@H]2C(=O)CO[C@@H]21)c1ccccc1	O=C1CO[C@@H]2[C@H](OC(=O)c3ccccc3)CO[C@@H]2O1	entailment
754	COC(=O)[C@@H]1[C@H]2CC(=O)[C@H](C)[C@H]2[C@@H]2OC(C)(C)O[C@@H]21	COC(=O)[C@@H]1[C@H]2CC(=O)O[C@H](C)[C@H]2[C@@H]2OC(C)(C)O[C@@H]21	entailment
755	COC(=O)[C@@H]1[C@H]2CC(=O)[C@H](C)[C@H]2[C@@H]2OC(C)(C)O[C@@H]21	COC(=O)[C@@H]1[C@H]2COC(=O)[C@H](C)[C@H]2[C@@H]2OC(C)(C)O[C@@H]21	not_entailment
756	Cc1cccc2c1CC(=O)C2C	Cc1cccc2c1CC(=O)OC2C	entailment
757	Cc1cccc2c1CC(=O)C2C	Cc1cccc2c1COC(=O)C2C	not_entailment
